coder,response_uuid,child_hashed_id,child__age_rounded,child__gender,frame_id,visualShown,audioPlayed,event0_timestamp,parent_transcription,response_video_file,session_order,trial_num,trial_type,testtrial_type,stimulus_set,stimulus_subject,stimulus_verb,stimulus_object,stimulus_distractor,stimulus_targetutterance,stimulus_condition,informative_entities,uninformative_entities,response_exact_utterance,response_attempted_target,response_included_subject,response_included_verb,response_included_object,response_included_distractor,response_included_informative,response_included_uninformative,include_trial,exclusion_reason,trial_notes
sienna,45e084d8-d2b4-4ee2-a02a-3d7e1a739eda,X7c57J,690,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_duck_ball_new.ogg,2024-02-20T16:19:12.184Z,"ball, eyes, baby",https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_26-startRecordingActualTrial-4-multiframe_45e084d8-d2b4-4ee2-a02a-3d7e1a739eda_1708445949395_517.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=xSzIrR2mfmv5bNtyHkYfx4j7HHI%3D&Expires=1712593562,Order2,6,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[points at screen] unintelligible; BALL; OH NO; BABY BABY YA YA BABY YES BABYx5 ; BABY OK BABY,y,n,n,y,n,y,n,y,,
sienna,45e084d8-d2b4-4ee2-a02a-3d7e1a739eda,X7c57J,690,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_cat_dog_banana.ogg,2024-02-20T16:21:10.863Z,"cat, banana, meow, watch meow",https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_31-startRecordingActualTrial-5-multiframe_45e084d8-d2b4-4ee2-a02a-3d7e1a739eda_1708446068048_956.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=z6kPsjKEiIMi2QtjjfB7TfhfXd4%3D&Expires=1712593662,Order2,7,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,unintelligible BANANA; MEOW YA; unintelligible,y,y,n,y,n,y,y,y,,
sienna,45e084d8-d2b4-4ee2-a02a-3d7e1a739eda,X7c57J,690,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_baby_milk_juice.ogg,2024-02-20T16:22:46.007Z,"baby, juice, milk juice",https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_36-startRecordingActualTrial-6-multiframe_45e084d8-d2b4-4ee2-a02a-3d7e1a739eda_1708446162657_462.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=j8fQuWUrq8QLTtUnk4ka2QUCZDg%3D&Expires=1712593723,Order2,8,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,MILK DRINK,BABY JUICE,MOMMY HAPPENED; unintelligible; BABY; JUICE; MILK JUICE; BABY YA,y,y,n,y,y,y,y,y,,
sienna,e0219e64-41aa-4138-9d2f-175724bf49a5,XBDFDF,570,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-21T14:11:44.284Z,NA,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_3-startRecordingTrain1-1-multiframe_e0219e64-41aa-4138-9d2f-175724bf49a5_1708524702546_805.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=FaYOsz7nHvnYt%2BSybaC5oXvJQKk%3D&Expires=1712681188,Order2,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,[points at screen]; unintelligible [shakes head],n,n,NA,NA,NA,n,n,y,,
sienna,e0219e64-41aa-4138-9d2f-175724bf49a5,XBDFDF,570,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-21T14:12:18.334Z,tao,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_7-startRecordingTrain1-2-multiframe_e0219e64-41aa-4138-9d2f-175724bf49a5_1708524736542_954.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=40wU8NiJpzMT%2BDIFY1jFf9gP0KQ%3D&Expires=1712681226,Order2,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,CAR [points at screen]; CAR [points at screen],y,y,NA,NA,NA,y,n,y,,
sienna,e0219e64-41aa-4138-9d2f-175724bf49a5,XBDFDF,570,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_bear_shoes_new.ogg,2024-02-21T14:12:50.721Z,buh bear go,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_11-startRecordingActualTrial-1-multiframe_e0219e64-41aa-4138-9d2f-175724bf49a5_1708524767804_732.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=mTcngBHbd9mg1PStLPQMs3k2nJ4%3D&Expires=1712681272,Order2,3,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES,BEAR ROOM,BEAR [points at screen]; unintelligible [points at screen]; unintelligible [points at screen],y,y,n,n,n,n,y,y,,
sienna,e0219e64-41aa-4138-9d2f-175724bf49a5,XBDFDF,570,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_dog_apple_banana.ogg,2024-02-21T14:14:37.297Z,dog dog my,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_16-startRecordingActualTrial-2-multiframe_e0219e64-41aa-4138-9d2f-175724bf49a5_1708524875417_357.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=50WVaCUV4nYMPuEsBoaURUPopGU%3D&Expires=1712681351,Order2,4,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,APPLE EAT,DOG BANANA,DOG [points at screen]; DOG; DOG [points at screen] MY,y,y,n,n,n,n,y,y,,
sienna,e0219e64-41aa-4138-9d2f-175724bf49a5,XBDFDF,570,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_bird_baby_juice.ogg,2024-02-21T14:16:18.952Z,uh bir,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_21-startRecordingActualTrial-3-multiframe_e0219e64-41aa-4138-9d2f-175724bf49a5_1708524975946_621.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=NQWY%2BkEqec5IUZwv4%2BQz5BXQ0nM%3D&Expires=1712681438,Order2,5,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,[points at screen] unintelligible; BIRD,y,y,n,n,n,y,n,y,,
sienna,e0219e64-41aa-4138-9d2f-175724bf49a5,XBDFDF,570,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_duck_ball_new.ogg,2024-02-21T14:17:39.977Z,a ball ball,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_26-startRecordingActualTrial-4-multiframe_e0219e64-41aa-4138-9d2f-175724bf49a5_1708525058097_428.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=HjvMtATKzwb72MzhpoyGiYzvOuM%3D&Expires=1712681502,Order2,6,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,BALL x3; BALL x2; BALL,y,n,n,y,n,y,n,y,,
sienna,e0219e64-41aa-4138-9d2f-175724bf49a5,XBDFDF,570,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_cat_dog_banana.ogg,2024-02-21T14:18:46.380Z,more more no,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_31-startRecordingActualTrial-5-multiframe_e0219e64-41aa-4138-9d2f-175724bf49a5_1708525123358_873.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=iPOyfXVMmugZcehqOLvg3yd%2FPyc%3D&Expires=1712681551,Order2,7,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,MORE; NO NO,n,n,n,n,n,n,n,y,,
sienna,e0219e64-41aa-4138-9d2f-175724bf49a5,XBDFDF,570,m,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_baby_milk_juice.ogg,2024-02-21T14:20:14.847Z,bee duh duh,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_36-startRecordingActualTrial-6-multiframe_e0219e64-41aa-4138-9d2f-175724bf49a5_1708525212886_16.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=ih8Yl3wl5Tx0LeMub8Yp5BBikHY%3D&Expires=1712681602,Order2,8,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,MILK DRINK,BABY JUICE,BIRD; DOG DOG,n,n,n,n,n,n,n,y,,
sienna,f001e004-9416-43f8-8789-d7e04215002c,PFTK45,480,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-22T14:43:35.299Z,gah gah,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_3-startRecordingTrain1-1-multiframe_f001e004-9416-43f8-8789-d7e04215002c_1708613013574_147.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=KzzBp5o4byl79itY%2FnoXCId0qrc%3D&Expires=1712681822,Order2,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,[points at screen]; HA HA,n,n,NA,NA,NA,n,n,y,,
sienna,f001e004-9416-43f8-8789-d7e04215002c,PFTK45,480,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-22T14:44:10.270Z,ca ca,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_7-startRecordingTrain1-2-multiframe_f001e004-9416-43f8-8789-d7e04215002c_1708613048548_486.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=5GM3cTwQEIgnw3CUq8AB0lGHeuc%3D&Expires=1712681866,Order2,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,CAR,y,y,NA,NA,NA,y,n,y,,
sienna,f001e004-9416-43f8-8789-d7e04215002c,PFTK45,480,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_bear_shoes_new.ogg,2024-02-22T14:44:38.274Z,pitah,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_11-startRecordingActualTrial-1-multiframe_f001e004-9416-43f8-8789-d7e04215002c_1708613076671_739.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=mk4h2xGRgc8NaA32FfqxPgzA6GI%3D&Expires=1712681890,Order2,3,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES,BEAR ROOM,[points at screen] unintelligible,n,n,n,n,n,n,n,y,,
sienna,f001e004-9416-43f8-8789-d7e04215002c,PFTK45,480,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_dog_apple_banana.ogg,2024-02-22T14:45:50.437Z,nothing,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_16-startRecordingActualTrial-2-multiframe_f001e004-9416-43f8-8789-d7e04215002c_1708613148598_345.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=F0kZam4LhWAzD5Zx90O%2BUierA9w%3D&Expires=1712681946,Order2,4,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,APPLE EAT,DOG BANANA,[NA],n,n,n,n,n,n,n,y,,
sienna,9754a7cd-2bc7-409f-af9c-24e63e3c8b88,XJdL74,540,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-23T01:43:28.835Z,hi,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_3-startRecordingTrain1-1-multiframe_9754a7cd-2bc7-409f-af9c-24e63e3c8b88_1708652606735_456.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=sF%2BHihkDE3ZEVn63Dz4IBl1%2BtpM%3D&Expires=1712683033,Order2,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,HI,n,n,NA,NA,NA,n,n,n,parent did not give child time to respond,
sienna,9754a7cd-2bc7-409f-af9c-24e63e3c8b88,XJdL74,540,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-23T01:43:47.242Z,yes,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_7-startRecordingTrain1-2-multiframe_9754a7cd-2bc7-409f-af9c-24e63e3c8b88_1708652625210_408.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=dONVbgHU0pohHt2lpN%2F1vTUsIqY%3D&Expires=1712683051,Order2,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,unintelligible,n,n,NA,NA,NA,n,n,n,parent did not give child time to respond,
sienna,9754a7cd-2bc7-409f-af9c-24e63e3c8b88,XJdL74,540,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_bear_shoes_new.ogg,2024-02-23T01:44:05.382Z,nothing,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_11-startRecordingActualTrial-1-multiframe_9754a7cd-2bc7-409f-af9c-24e63e3c8b88_1708652642959_488.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=Gyml9JCpPJi%2Bq2GtU0F4k%2FrgYsM%3D&Expires=1712683075,Order2,3,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES,BEAR ROOM,[NA],n,n,n,n,n,n,n,n,parent did not give child time to respond,
sienna,9754a7cd-2bc7-409f-af9c-24e63e3c8b88,XJdL74,540,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_dog_apple_banana.ogg,2024-02-23T01:45:18.220Z,nothing,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_16-startRecordingActualTrial-2-multiframe_9754a7cd-2bc7-409f-af9c-24e63e3c8b88_1708652715720_327.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=HuZHI4Gm%2BEglpgA7HDFpTIkzRDE%3D&Expires=1712683123,Order2,4,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,APPLE EAT,DOG BANANA,[NA],n,n,n,n,n,n,n,n,parent did not give child time to respond,
sienna,9754a7cd-2bc7-409f-af9c-24e63e3c8b88,XJdL74,540,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_bird_baby_juice.ogg,2024-02-23T01:46:26.773Z,nothing,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_21-startRecordingActualTrial-3-multiframe_9754a7cd-2bc7-409f-af9c-24e63e3c8b88_1708652783522_933.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=8SKG3RlRnJUehyb5X%2Fvu%2FIKi0vc%3D&Expires=1712683160,Order2,5,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,[NA],n,n,n,n,n,n,n,n,parent did not give child time to respond,
sienna,9754a7cd-2bc7-409f-af9c-24e63e3c8b88,XJdL74,540,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_duck_ball_new.ogg,2024-02-23T01:47:40.243Z,ball,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_26-startRecordingActualTrial-4-multiframe_9754a7cd-2bc7-409f-af9c-24e63e3c8b88_1708652857040_536.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=5fl38cUpNF4bFnbxciqHfx2NkdU%3D&Expires=1712683198,Order2,6,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[fussy],n,n,n,n,n,n,n,n,fussy,
sienna,9754a7cd-2bc7-409f-af9c-24e63e3c8b88,XJdL74,540,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_cat_dog_banana.ogg,2024-02-23T01:49:39.405Z,woof woof,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_31-startRecordingActualTrial-5-multiframe_9754a7cd-2bc7-409f-af9c-24e63e3c8b88_1708652976777_802.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=5InEEiE0mIvVChA84lS%2BZXHYld8%3D&Expires=1712683260,Order2,7,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,[NA],n,n,n,n,n,n,n,n,parent did not give child time to respond,
sienna,9754a7cd-2bc7-409f-af9c-24e63e3c8b88,XJdL74,540,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_baby_milk_juice.ogg,2024-02-23T01:50:38.204Z,no no,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_36-startRecordingActualTrial-6-multiframe_9754a7cd-2bc7-409f-af9c-24e63e3c8b88_1708653035738_174.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=1HpmdfAyuGtrfH3Qw1q4VHG0iIE%3D&Expires=1712683294,Order2,8,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,MILK DRINK,BABY JUICE,[NA],n,n,n,n,n,n,n,n,parent did not give child time to respond,overall the parent never really gave time for the child to respond
sienna,66f36ebf-05ab-4918-97a3-f3567f464001,Wc44UM,630,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-24T21:28:39.474Z,NA,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_3-startRecordingTrain1-1-multiframe_66f36ebf-05ab-4918-97a3-f3567f464001_1708810117602_155.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=RMj11fzaPhOL2rVoUHZSjRRkvNo%3D&Expires=1712683428,Order2,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,[NA],n,n,NA,NA,NA,n,n,y,,i think parent ended the trial too soon
sienna,66f36ebf-05ab-4918-97a3-f3567f464001,Wc44UM,630,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/mp3/training_audio.mp3,2024-02-24T21:30:06.086Z,a car,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_7-startRecordingTrain1-2-multiframe_66f36ebf-05ab-4918-97a3-f3567f464001_1708810204566_990.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=ErvXydJLRWGgoubrq%2F5PA2%2FkMBU%3D&Expires=1712683489,Order2,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,CAR,y,y,NA,NA,NA,y,n,y,,
sienna,66f36ebf-05ab-4918-97a3-f3567f464001,Wc44UM,630,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_bear_shoes_new.ogg,2024-02-24T21:30:38.353Z,a bear,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_11-startRecordingActualTrial-1-multiframe_66f36ebf-05ab-4918-97a3-f3567f464001_1708810236305_791.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=AL2HPJ5amkEzwFVQbW9%2BBThvWjk%3D&Expires=1712683518,Order2,3,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES,BEAR ROOM,A BEAR; A BEAR,y,y,n,n,n,n,y,y,,
sienna,66f36ebf-05ab-4918-97a3-f3567f464001,Wc44UM,630,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/patient_dog_apple_banana.ogg,2024-02-24T21:31:44.192Z,puppy,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_16-startRecordingActualTrial-2-multiframe_66f36ebf-05ab-4918-97a3-f3567f464001_1708810302429_446.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=zlav6p4JGL5G%2BYxnQGnfBI5mCGQ%3D&Expires=1712683569,Order2,4,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,APPLE EAT,DOG BANANA,unintelligible; A PUPPY,y,y,n,n,n,n,y,y,,
sienna,66f36ebf-05ab-4918-97a3-f3567f464001,Wc44UM,630,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_bird_baby_juice.ogg,2024-02-24T21:33:11.217Z,puppy,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_21-startRecordingActualTrial-3-multiframe_66f36ebf-05ab-4918-97a3-f3567f464001_1708810388989_523.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=sidBEfMbRdRVk%2FHqhhuhbz%2BgQi4%3D&Expires=1712683634,Order2,5,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,PUPPY x3,n,n,n,n,n,n,n,y,,
sienna,66f36ebf-05ab-4918-97a3-f3567f464001,Wc44UM,630,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/common_ground_duck_ball_new.ogg,2024-02-24T21:34:25.707Z,ducky,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_26-startRecordingActualTrial-4-multiframe_66f36ebf-05ab-4918-97a3-f3567f464001_1708810463908_120.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=pqji%2BOJd2kFvvzJOM%2F65mQBHWaY%3D&Expires=1712683712,Order2,6,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[points at screen] PUPPY; PUPPY; DUCKY,n,y,n,n,n,n,y,y,,
sienna,66f36ebf-05ab-4918-97a3-f3567f464001,Wc44UM,630,f,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/ogg/agent_cat_dog_banana.ogg,2024-02-24T21:35:41.159Z,puppy,https://s3.amazonaws.com/mitLookit/videoStream_95d3341f-562a-4a0b-8bb7-0717a3889df9_31-startRecordingActualTrial-5-multiframe_66f36ebf-05ab-4918-97a3-f3567f464001_1708810539392_976.mp4?AWSAccessKeyId=AKIASQVETJIQX45OXGA6&Signature=J%2BlfJB5iEhTmGSgdlxTEzVc1AF4%3D&Expires=1712683768,Order2,7,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,PUPPY x5,n,n,n,n,y,n,y,y,,
